iter	Passed	Remaining
666	44934	233634
667	45013	233627
668	45079	233553
669	45140	233450
670	45208	233388
671	45297	233430
672	45355	233315
673	45430	233283
674	45488	233171
675	45560	233125
676	45624	233041
677	45691	232973
678	45748	232854
679	45802	232714
680	45856	232582
681	45914	232465
682	45968	232334
683	46026	232216
684	46076	232064
685	46138	231972
686	46197	231861
687	46264	231794
688	46339	231767
689	46407	231701
690	46468	231604
691	46530	231511
692	46595	231431
693	46659	231346
694	46750	231395
695	46818	231333
696	46876	231222
697	46937	231125
698	46998	231027
699	47067	230968
700	47133	230893
701	47188	230768
702	47264	230742
703	47331	230672
704	47398	230604
705	47463	230527
706	47529	230456
707	47590	230358
708	47645	230228
709	47717	230188
710	47781	230103
711	47845	230020
712	47903	229909
713	47970	229840
714	48033	229755
715	48091	229641
716	48142	229500
717	48220	229485
718	48283	229396
719	48350	229330
720	48425	229300
721	48500	229266
722	48568	229206
723	48637	229146
724	48718	229143
725	48803	229161
726	48892	229195
727	48967	229165
728	49046	229152
729	49105	229048
730	49169	228965
731	49253	228974
732	49311	228865
733	49401	228902
734	49487	228922
735	49588	229009
736	49674	229028
737	49765	229071
738	49857	229114
739	49938	229109
740	50011	229068
741	50076	228989
742	50142	228916
743	50207	228833
744	50285	228814
745	50360	228782
746	50435	228747
747	50512	228722
748	50605	228773
749	50695	228805
750	50776	228796
751	50853	228773
752	50931	228751
753	51023	228795
754	51125	228878
755	51230	228979
756	51251	228700
757	51343	228741
758	51417	228701
759	51483	228629
760	51558	228593
761	51635	228567
762	51705	228508
763	51766	228409
764	51826	228309
765	51891	228229
766	51961	228169
767	52028	228098
768	52103	228063
769	52178	228027
770	52258	228014
771	52329	227957
772	52400	227904
773	52472	227856
774	52541	227791
775	52609	227724
776	52687	227701
777	52755	227633
778	52828	227589
779	52903	227552
780	52983	227538
781	53073	227563
782	53152	227546
783	53233	227533
784	53323	227556
785	53387	227472
786	53392	227136
787	53451	227032
788	53506	226909
789	53563	226796
790	53628	226718
791	53701	226670
792	53791	226697
793	53877	226706
794	53967	226729
795	54062	226778
796	54146	226776
797	54212	226700
798	54271	226596
799	54325	226470
800	54386	226371
801	54463	226342
802	54556	226380
803	54639	226375
804	54729	226396
805	54821	226427
806	54927	226517
807	55008	226500
808	55070	226408
809	55128	226298
810	55187	226195
811	55260	226147
812	55331	226089
813	55401	226030
814	55471	225969
815	55540	225903
816	55611	225849
817	55672	225751
818	55731	225649
819	55799	225577
820	55865	225503
821	55933	225435
822	56000	225363
823	56066	225286
824	56098	225074
825	56166	225004
826	56234	224936
827	56308	224893
828	56367	224789
829	56436	224727
830	56502	224649
831	56569	224576
832	56636	224508
833	56698	224414
834	56766	224345
835	56835	224281
836	56907	224230
837	56989	224216
838	57066	224183
839	57139	224137
840	57210	224079
841	57286	224043
842	57352	223966
843	57423	223910
844	57499	223873
845	57571	223819
846	57641	223760
847	57714	223709
848	57788	223668
849	57855	223593
850	58001	223827
851	58069	223756
852	58144	223716
853	58212	223646
854	58279	223576
855	58351	223521
856	58421	223459
857	58496	223417
858	58570	223371
859	58577	223069
860	58651	223025
861	58721	222963
862	58801	222941
863	58877	222904
864	58946	222837
865	59020	222790
866	59094	222747
867	59171	222712
868	59249	222680
869	59319	222618
870	59383	222536
871	59458	222490
872	59531	222442
873	59599	222372
874	59667	222302
875	59731	222220
876	59800	222156
877	59879	222127
878	59957	222095
879	60031	222047
880	60102	221988
881	60178	221949
882	60255	221914
883	60330	221870
884	60345	221606
885	60413	221539
886	60488	221494
887	60564	221457
888	60641	221418
889	60710	221356
890	60779	221288
891	60850	221231
892	60921	221171
893	60994	221122
894	61071	221085
895	61150	221054
896	61219	220989
897	61294	220945
898	61363	220879
899	61432	220817
900	61499	220742
901	61569	220681
902	61637	220610
903	61714	220576
904	61789	220530
905	61865	220491
906	61935	220427
907	61998	220341
908	62065	220269
909	62127	220177
910	62194	220104
911	62271	220067
912	62354	220049
913	62426	219996
914	62433	219712
915	62507	219663
916	62577	219599
917	62641	219519
918	62709	219448
919	62779	219387
920	62848	219321
921	62913	219243
922	62982	219175
923	63052	219115
924	63122	219053
925	63189	218979
926	63256	218908
927	63327	218848
928	63400	218798
929	63469	218729
930	63539	218670
931	63616	218631
932	63681	218551
933	63760	218518
934	63826	218443
935	63881	218329
936	63934	218210
937	63994	218112
938	64051	218008
939	64110	217906
940	64174	217826
941	64250	217782
942	64325	217739
943	64402	217699
944	64467	217621
945	64531	217538
946	64603	217481
947	64672	217418
948	64742	217353
949	64804	217264
950	64876	217210
951	64955	217176
952	64960	216897
953	65029	216834
954	65092	216748
955	65158	216673
956	65225	216601
957	65296	216540
958	65366	216479
959	65454	216476
960	65526	216420
961	65580	216305
962	65645	216228
963	65715	216164
964	65779	216083
965	65846	216011
966	65915	215945
967	65985	215882
968	66053	215814
969	66117	215733
970	66193	215690
971	66261	215621
972	66322	215530
973	66390	215462
974	66456	215387
975	66519	215303
976	66592	215251
977	66647	215139
978	66702	215028
979	66760	214926
980	66813	214810
981	66873	214715
982	66944	214659
983	67015	214598
984	67081	214525
985	67151	214461
986	67225	214414
987	67290	214334
988	67351	214243
989	67420	214180
990	67475	214070
991	67542	213999
992	67618	213953
993	67687	213888
994	67754	213817
995	67822	213748
996	67885	213666
997	67948	213580
998	68012	213500
999	68077	213422
1000	68144	213352
1001	68210	213277
1002	68274	213196
1003	68340	213120
1004	68417	213081
1005	68490	213029
1006	68555	212951
1007	68611	212844
1008	68670	212748
1009	68727	212645
1010	68784	212546
1011	68841	212441
1012	68908	212371
1013	68985	212330
1014	69047	212245
1015	69099	212126
1016	69154	212019
1017	69213	211923
1018	69267	211812
1019	69326	211717
1020	69388	211630
1021	69393	211371
1022	69453	211278
1023	69507	211170
1024	69564	211068
1025	69623	210975
1026	69675	210857
1027	69717	210712
1028	69775	210615
1029	69812	210452
1030	69867	210346
1031	69930	210264
1032	69982	210150
